dayofweek,Hours,time1,time2,time3,PULocationID,count
0,23,121,88,90,43,55
1,0,88,90,55,43,18
1,1,90,55,18,43,10
1,2,55,18,10,43,4
1,3,18,10,4,43,2
1,4,10,4,2,43,7
1,5,4,2,7,43,14
1,6,2,7,14,43,97
1,7,7,14,97,43,188
1,8,14,97,188,43,220
1,9,97,188,220,43,210
1,10,188,220,210,43,145
1,11,220,210,145,43,233
1,12,210,145,233,43,339
1,13,145,233,339,43,266
1,14,233,339,266,43,306
1,15,339,266,306,43,274
1,16,266,306,274,43,283
1,17,306,274,283,43,355
1,18,274,283,355,43,292
1,19,283,355,292,43,165
1,20,355,292,165,43,216
1,21,292,165,216,43,130
1,22,165,216,130,43,76
1,23,216,130,76,43,44
2,0,130,76,44,43,21
2,1,76,44,21,43,16
2,2,44,21,16,43,5
2,3,21,16,5,43,4
2,4,16,5,4,43,7
2,5,5,4,7,43,24
2,6,4,7,24,43,85
2,7,7,24,85,43,186
2,8,24,85,186,43,266
2,9,85,186,266,43,246
2,10,186,266,246,43,192
2,11,266,246,192,43,230
2,12,246,192,230,43,266
2,13,192,230,266,43,285
2,14,230,266,285,43,294
2,15,266,285,294,43,278
2,16,285,294,278,43,226
2,17,294,278,226,43,276
2,18,278,226,276,43,310
2,19,226,276,310,43,211
2,20,276,310,211,43,198
2,21,310,211,198,43,133
2,22,211,198,133,43,118
2,23,198,133,118,43,52
3,0,133,118,52,43,44
3,1,118,52,44,43,21
3,2,52,44,21,43,18
3,3,44,21,18,43,1
3,4,21,18,1,43,9
3,5,18,1,9,43,35
3,6,1,9,35,43,89
3,7,9,35,89,43,175
3,8,35,89,175,43,278
3,9,89,175,278,43,259
3,10,175,278,259,43,158
3,11,278,259,158,43,237
3,12,259,158,237,43,253
3,13,158,237,253,43,265
3,14,237,253,265,43,332
3,15,253,265,332,43,310
3,16,265,332,310,43,253
3,17,332,310,253,43,321
3,18,310,253,321,43,300
3,19,253,321,300,43,202
3,20,321,300,202,43,228
3,21,300,202,228,43,157
3,22,202,228,157,43,145
3,23,228,157,145,43,78
4,0,157,145,78,43,44
4,1,145,78,44,43,19
4,2,78,44,19,43,9
4,3,44,19,9,43,4
4,4,19,9,4,43,10
4,5,9,4,10,43,20
4,6,4,10,20,43,84
4,7,10,20,84,43,194
4,8,20,84,194,43,208
4,9,84,194,208,43,230
4,10,194,208,230,43,169
4,11,208,230,169,43,244
4,12,230,169,244,43,288
4,13,169,244,288,43,325
4,14,244,288,325,43,336
4,15,288,325,336,43,296
4,16,325,336,296,43,274
4,17,336,296,274,43,311
4,18,296,274,311,43,278
4,19,274,311,278,43,285
4,20,311,278,285,43,257
4,21,278,285,257,43,141
4,22,285,257,141,43,168
4,23,257,141,168,43,94
5,0,141,168,94,43,57
5,1,168,94,57,43,33
5,2,94,57,33,43,25
5,3,57,33,25,43,10
5,4,33,25,10,43,11
5,5,25,10,11,43,26
5,6,10,11,26,43,20
5,7,11,26,20,43,57
5,8,26,20,57,43,88
5,9,20,57,88,43,166
5,10,57,88,166,43,194
5,11,88,166,194,43,236
5,12,166,194,236,43,353
5,13,194,236,353,43,404
5,14,236,353,404,43,378
5,15,353,404,378,43,286
5,16,404,378,286,43,319
5,17,378,286,319,43,346
5,18,286,319,346,43,288
5,19,319,346,288,43,285
5,20,346,288,285,43,226
5,21,288,285,226,43,170
5,22,285,226,170,43,221
5,23,226,170,221,43,145
6,0,170,221,145,43,72
6,1,221,145,72,43,63
6,2,145,72,63,43,30
6,3,72,63,30,43,22
6,4,63,30,22,43,25
6,5,30,22,25,43,14
6,6,22,25,14,43,39
6,7,25,14,39,43,64
6,8,14,39,64,43,74
6,9,39,64,74,43,90
6,10,64,74,90,43,162
6,11,74,90,162,43,262
6,12,90,162,262,43,310
6,13,162,262,310,43,358
6,14,262,310,358,43,330
6,15,310,358,330,43,239
6,16,358,330,239,43,390
6,17,330,239,390,43,295
6,18,239,390,295,43,181
6,19,390,295,181,43,110
6,20,295,181,110,43,119
6,21,181,110,119,43,68
6,22,110,119,68,43,61
6,23,119,68,61,43,28
0,0,68,61,28,43,11
0,1,61,28,11,43,10
0,2,28,11,10,43,7
0,3,11,10,7,43,3
0,4,10,7,3,43,8
0,5,7,3,8,43,31
0,6,3,8,31,43,80
0,7,8,31,80,43,173
0,8,31,80,173,43,165
0,9,80,173,165,43,212
0,10,173,165,212,43,155
0,11,165,212,155,43,195
0,12,212,155,195,43,265
0,13,155,195,265,43,233
0,14,195,265,233,43,276
0,15,265,233,276,43,237
0,16,233,276,237,43,252
0,17,276,237,252,43,304
0,18,237,252,304,43,203
0,19,252,304,203,43,179
0,20,304,203,179,43,196
0,21,203,179,196,43,112
0,22,179,196,112,43,60
0,23,196,112,60,43,35
1,0,112,60,35,43,19
1,1,60,35,19,43,13
1,2,35,19,13,43,1
1,3,19,13,1,43,2
1,4,13,1,2,43,7
1,5,1,2,7,43,30
1,6,2,7,30,43,68
1,7,7,30,68,43,204
1,8,30,68,204,43,185
1,9,68,204,185,43,218
1,10,204,185,218,43,169
1,11,185,218,169,43,232
1,12,218,169,232,43,241
1,13,169,232,241,43,239
1,14,232,241,239,43,273
1,15,241,239,273,43,237
1,16,239,273,237,43,256
1,17,273,237,256,43,243
1,18,237,256,243,43,223
1,19,256,243,223,43,211
1,20,243,223,211,43,188
1,21,223,211,188,43,128
1,22,211,188,128,43,90
1,23,188,128,90,43,56
